AUDI;AUTOMOVIL;TT 8J 1.8 TFSI COUPE SPORT MT 1800CC T;Particular;115600000;true;1798;4;GSL
AUDI;AUTOMOVIL;A3 8V SPORTBACK ATTRACTION TP 1800CC T;Particular;99900000;true;1798;5;GSL
AUDI;AUTOMOVIL;A3 8V COUPE ATTRACTION MT 1200CC T;Particular;81700000;true;1197;5;GSL
AUDI;AUTOMOVIL;A3 8V COUPE ATTRACTION TP 1200CC T;Particular;89900000;true;1197;5;GSL
AUDI;AUTOMOVIL;S3 8V 2.0 TFSI S-TRONIC QUATTRO COUPE TP 2000CC T CT;Particular;125800000;true;1984;5;GSL
AUDI;AUTOMOVIL;S3 8V 2.0 TFSI S-TRONIC QUATTRO SPORTBACK TP 2000CC T TC;Particular;153900000;true;1984;5;GSL
AUDI;AUTOMOVIL;A5 B8 [FL] SPORTBACK 1.8 TFSI TP 1800CC T;Particular;154200000;true;1798;5;GSL
AUDI;AUTOMOVIL;A3 8V SPORTBACK ATTRACTION MT 1800CC T;Particular;85500000;true;1798;5;GSL
AUDI;AUTOMOVIL;TT 8S 2.0 TFSI COUPE SPORT S-TRONIC TP 2000CC T;Particular;176900000;true;1984;4;GSL
AUDI;AUTOMOVIL;A3 8V COUPE AMBITION S LINE TP 1800CC T CT;Particular;109900000;true;1798;5;GSL
AUDI;AUTOMOVIL;A1 SPORTBACK 8X [FL] 1.4 TFSI AMBITION TP 1400CC T CT;Particular;99900000;true;1395;5;GSL
AUDI;AUTOMOVIL;A3 8V COUPE ATTRACTION SLINE TP 1200CC T;Particular;94900000;true;1197;5;GSL
AUDI;AUTOMOVIL;A3 8V SPORTBACK AMBITION TP 1200CC T;Particular;109900000;true;1197;5;GSL
AUDI;AUTOMOVIL;A3 8V SPORTBACK PROGRESSIVE TP 2000CC T CT;Particular;119900000;true;1984;5;GSL
AUDI;AUTOMOVIL;A7 3.0 TFSI S-TRONIC PROGRESSIVE TP 3000CC;Particular;350400000;true;2995;5;GSL
AUDI;AUTOMOVIL;A5 F5 SPORTBACK 2.0 TFSI PROGRESSIVE TP 2000CC T CT;Particular;199900000;true;1984;5;GSL
AUDI;AUTOMOVIL;A3 8V SPORTBACK AMBITION TP 2000CC T CT;Particular;107900000;true;1984;5;GSL
AUDI;AUTOMOVIL;S3 8V [FL] 2.0 TFSI S-TRONIC QUATTRO SPORTBACK TP 2000CC T CT TC;Particular;171900000;true;1984;5;GSL
AUDI;AUTOMOVIL;R8 [2] 5.2 FSI QUATTRO Plus TP 5200CC V10;Particular;849900000;true;5204;2;GSL
AUDI;AUTOMOVIL;TT RS 8S 2.5 TFSI COUPE QUATTRO TP 2500CC T;Particular;306500000;true;2480;4;GSL
AUDI;AUTOMOVIL;RS3 8V [FL] 2.5 TFSI SPORTBACK TP 2500CC T;Particular;222900000;true;2480;5;GSL
AUDI;AUTOMOVIL;A5 F5 SPORTBACK 2.0 TFSI AMBITION TP 2000CC T;Particular;169900000;true;1984;5;GSL
AUDI;AUTOMOVIL;A3 8V COUPE ATTRACTION MT 1800CC T;Particular;94600000;true;1798;5;GSL
